,0
2018-11-01,99921.83211740572
2018-11-02,100111.60747313884
2018-11-15,107425.90784303633
2018-11-16,107425.90784303633
2018-11-19,107425.90784303633
2018-11-20,107425.90784303633
2018-11-21,107425.90784303633
2018-11-23,107425.90784303633
2018-11-26,107425.90784303633
2018-11-27,107425.90784303633
2018-11-28,107425.90784303633
2018-11-29,107425.90784303633
2018-12-10,107425.90784303633
2018-12-11,107425.90784303633
2018-12-12,107425.90784303633
2018-12-13,107425.90784303633
2018-12-14,107425.90784303633
2018-12-17,107425.90784303633
2018-12-18,107425.90784303633
2018-12-19,107425.90784303633
2018-12-20,107425.90784303633
2018-12-21,107425.90784303633
2018-12-24,107425.90784303633
2018-12-26,107425.90784303633
2018-12-27,107425.90784303633
2018-12-28,107425.90784303633
2018-12-31,107400.11165308798
2019-01-02,106192.51143161589
2019-01-03,106192.51143161589
2019-01-04,106192.51143161589
2019-01-07,106192.51143161589
2019-01-08,106192.51143161589
2019-01-09,106192.51143161589
2019-01-10,106192.51143161589
2019-01-11,106192.51143161589
2019-01-14,106192.51143161589
2019-01-15,106192.51143161589
2019-01-16,106192.51143161589
2019-01-17,106192.51143161589
2019-01-18,106192.51143161589
2019-01-22,106192.51143161589
2019-01-23,106192.51143161589
2019-01-24,106192.51143161589
2019-01-25,106192.51143161589
2019-01-28,106192.51143161589
2019-01-29,106192.51143161589
2019-01-30,106192.51143161589
2019-01-31,106192.51143161589
2019-02-01,106192.51143161589
2019-02-04,106192.51143161589
2019-02-05,106192.51143161589
2019-02-06,106192.51143161589
2019-02-07,106192.51143161589
2019-02-08,106192.51143161589
2019-02-11,106192.51143161589
2019-02-12,106192.51143161589
2019-02-13,106192.51143161589
2019-02-14,106192.51143161589
2019-02-15,106192.51143161589
2019-02-19,106192.51143161589
2019-02-20,106192.51143161589
2019-02-21,106192.51143161589
2019-02-22,106192.51143161589
2019-02-25,106192.51143161589
2019-02-26,106192.51143161589
2019-02-28,106192.51143161589
2019-03-01,106192.51143161589
2019-03-04,106192.51143161589
2019-03-05,106192.51143161589
2019-03-06,106192.51143161589
2019-03-07,106192.51143161589
2019-03-08,106192.51143161589
2019-03-11,106192.51143161589
2019-03-12,106192.51143161589
2019-03-13,106192.51143161589
2019-03-14,106192.51143161589
2019-03-15,106192.51143161589
2019-03-18,106192.51143161589
2019-03-19,106192.51143161589
2019-03-20,106192.51143161589
2019-03-21,106192.51143161589
2019-03-22,106192.51143161589
2019-03-25,106192.51143161589
2019-03-26,106192.51143161589
2019-03-27,106192.51143161589
2019-03-28,106192.51143161589
2019-03-29,106192.51143161589
2019-04-02,106192.51143161589
2019-04-03,106192.51143161589
2019-04-09,106192.51143161589
2019-04-10,106192.51143161589
2019-04-11,106192.51143161589
2019-04-25,106107.5555664202
